sources,is_weed,verbatim_name,wcvp_taxon_name,wcvp_author,wcvp_rank,wcvp_taxon_status,wcvp_taxonid,wcvp_accepted_name,wcvp_accepted_author,wcvp_accepted_taxonid,wcvp_family,wcvp_match_type,wcvp_match_score,gbif_usage_key,gbif_scientific_name,gbif_canonical_name,gbif_authorship,gbif_rank,gbif_status,gbif_match_type,gbif_confidence,gbif_accepted_key,gbif_accepted_name,gbif_accepted_authorship,gbif_kingdom,gbif_phylum,gbif_class,gbif_order,gbif_family,gbif_genus,gbif_species,gbif_species_key
tsakalos_2018_applvegsci,False,Arnocrinum preissii,Arnocrinum preisii,Lehm.,Species,Accepted,300051,Arnocrinum preisii,Lehm.,300051,Asphodelaceae,fuzzy,97,2770468,Arnocrinum preisii Lehm.,Arnocrinum preisii,Lehm.,SPECIES,ACCEPTED,EXACT,100,2770468,Arnocrinum preisii Lehm.,Lehm.,Plantae,Tracheophyta,Liliopsida,Asparagales,Asphodelaceae,Arnocrinum,Arnocrinum preisii,2770468
inaturalist_eneabba,False,Chamaescilla corymbosa,Chamaescilla corymbosa,(R.Br.) F.Muell. ex Benth.,Species,Accepted,302085,Chamaescilla corymbosa,(R.Br.) F.Muell. ex Benth.,302085,Asphodelaceae,exact,100,2772832,Chamaescilla corymbosa (R.Br.) F.Muell. ex Benth.,Chamaescilla corymbosa,(R.Br.) F.Muell. ex Benth.,SPECIES,ACCEPTED,EXACT,100,2772832,Chamaescilla corymbosa (R.Br.) F.Muell. ex Benth.,(R.Br.) F.Muell. ex Benth.,Plantae,Tracheophyta,Liliopsida,Asparagales,Asphodelaceae,Chamaescilla,Chamaescilla corymbosa,2772832
tsakalos_2018_applvegsci,False,Chamaescilla versicolor,Chamaescilla versicolor,(Lindl.) Ostenf.,Species,Synonym,302096,Chamaescilla corymbosa var. latifolia,(F.Muell.) R.J.F.Hend.,302087,Asphodelaceae,exact,100,2772836,Chamaescilla corymbosa var. latifolia (F.Muell.) R.J.F.Hend.,Chamaescilla corymbosa latifolia,(F.Muell.) R.J.F.Hend.,VARIETY,ACCEPTED,EXACT,100,2772836,Chamaescilla corymbosa var. latifolia (F.Muell.) R.J.F.Hend.,(F.Muell.) R.J.F.Hend.,Plantae,Tracheophyta,Liliopsida,Asparagales,Asphodelaceae,Chamaescilla,Chamaescilla corymbosa,2772832
tsakalos_2018_applvegsci,False,Corynotheca micrantha,Corynotheca micrantha,(Lindl.) Druce,Species,Accepted,303287,Corynotheca micrantha,(Lindl.) Druce,303287,Asphodelaceae,exact,100,7319915,Corynotheca micrantha (Lindl.) Druce,Corynotheca micrantha,(Lindl.) Druce,SPECIES,ACCEPTED,EXACT,100,7319915,Corynotheca micrantha (Lindl.) Druce,(Lindl.) Druce,Plantae,Tracheophyta,Liliopsida,Asparagales,Asphodelaceae,Corynotheca,Corynotheca micrantha,7319915
tsakalos_2018_applvegsci,False,Dianella revoluta,Dianella revoluta,R.Br.,Species,Accepted,304157,Dianella revoluta,R.Br.,304157,Asphodelaceae,exact,100,5305191,Dianella revoluta R.Br.,Dianella revoluta,R.Br.,SPECIES,ACCEPTED,EXACT,100,5305191,Dianella revoluta R.Br.,R.Br.,Plantae,Tracheophyta,Liliopsida,Asparagales,Asphodelaceae,Dianella,Dianella revoluta,5305191
dbca_2025_tpfl,False,Hensmania stoniella,Hensmania stoniella,Keighery,Species,Accepted,277744,Hensmania stoniella,Keighery,277744,Asphodelaceae,exact,100,2773880,Hensmania stoniella Keighery,Hensmania stoniella,Keighery,SPECIES,ACCEPTED,EXACT,100,2773880,Hensmania stoniella Keighery,Keighery,Plantae,Tracheophyta,Liliopsida,Asparagales,Asphodelaceae,Hensmania,Hensmania stoniella,2773880
inaturalist_eneabba,False,Johnsonia pubescens,Johnsonia pubescens,Lindl.,Species,Accepted,279607,Johnsonia pubescens,Lindl.,279607,Asphodelaceae,exact,100,2781123,Johnsonia pubescens Lindl.,Johnsonia pubescens,Lindl.,SPECIES,ACCEPTED,EXACT,100,2781123,Johnsonia pubescens Lindl.,Lindl.,Plantae,Tracheophyta,Liliopsida,Asparagales,Asphodelaceae,Johnsonia,Johnsonia pubescens,2781123
inaturalist_eneabba|tsakalos_2018_applvegsci,False,Johnsonia pubescens subsp. pubescens,Johnsonia pubescens subsp. pubescens,nan,Subspecies,Accepted,312860,Johnsonia pubescens subsp. pubescens,nan,312860,Asphodelaceae,exact,100,7069947,Johnsonia pubescens subsp. pubescens,Johnsonia pubescens pubescens,,SUBSPECIES,ACCEPTED,EXACT,99,7069947,Johnsonia pubescens subsp. pubescens,,Plantae,Tracheophyta,Liliopsida,Asparagales,Asphodelaceae,Johnsonia,Johnsonia pubescens,2781123
dbca_2025_tpfl|tsakalos_2018_applvegsci,False,Stawellia dimorphantha,Stawellia dimorphantha,F.Muell.,Species,Accepted,287575,Stawellia dimorphantha,F.Muell.,287575,Asphodelaceae,exact,100,2780616,Stawellia dimorphantha F.Muell.,Stawellia dimorphantha,F.Muell.,SPECIES,ACCEPTED,EXACT,100,2780616,Stawellia dimorphantha F.Muell.,F.Muell.,Plantae,Tracheophyta,Liliopsida,Asparagales,Asphodelaceae,Stawellia,Stawellia dimorphantha,2780616
inaturalist_eneabba|tsakalos_2018_applvegsci,False,Tricoryne elatior,Tricoryne elatior,R.Br.,Species,Accepted,290567,Tricoryne elatior,R.Br.,290567,Asphodelaceae,exact,100,2779140,Tricoryne elatior R.Br.,Tricoryne elatior,R.Br.,SPECIES,ACCEPTED,EXACT,100,2779140,Tricoryne elatior R.Br.,R.Br.,Plantae,Tracheophyta,Liliopsida,Asparagales,Asphodelaceae,Tricoryne,Tricoryne elatior,2779140
